specimen_id,species,type,texture,color,layered,toughorflimsy
30181,Amanita bisporigera,saccate,membranous,white,not layered,flimsy
30182,Amanita suballiacea,saccate,membranous,white,not layered,tough
30183,Amanita cf. oberwinkleriana,collared,submembranous,white,not layered,flimsy
30184,Amanita suballiacea,saccate,membranous,white,not layered,flimsy
30185,Amanita cf. aurorae nom prov.,saccate,membranous,white light orange,not layered,tough
30186,Amanita fusca,saccate,membranous,white,not layered,flimsy
30187,Amanita suballiacea,saccate,membranous,white,not layered,flimsy
30188,Amanita fuscozonata,saccate,membranous,white,not layered,tough
30189,Amanita rhacopus,saccate,membranous,dingy white,not layered,flimsy
30190,Amanita frostiana,collared,membranous,white,not layered,tough
30191,Amanita frostiana,loose patches,submembranous,yellow,layered,flimsy
30192,Amanita chrysoblema,warts,membranous,dingy white,layered,
30193,Amanita confundens,saccate,membranous,white,not layered,flimsy
30194,Amanita aff. fulva,saccate,membranous,white,not layered,toughish
30195,Amanita amerivirosa,saccate,membranous,white,not layered,toughish
30196,Amanita chrysoblema,warts,membranous,dingy white,layered,tough
30197,Amanita chrysoblema,not evident,,,not layered,
30198,Amanita sinicoflava,saccate,membranous,grey,not layered,tough
30199,Amanita bisporigera,saccate,membranous,white,not layered,tough
30200,Amanita bisporigera,saccate,membranous,white,not layered,toughish
30201,Amanita flavoconia,not evident,,,not layered,
30202,Amanita porphyria,not evident,,,not layered,
30203,Amanita amerivirosa,saccate,membranous,dingy white,not layered,tough
30204,Amanita amerivirosa,not evident,,,not layered,
30205,Amanita flavoconia,not evident,,,not layered,
30206,Amanita flavoconia,not evident,,,not layered,
30207,Amanita porphyria,saccate,membranous,white,not layered,tough
30208,Amanita cf. lavendula,limbate,membranous,white,not layered,tough
30209,Amanita amerivirosa,limbate,membranous,dingy white brown,not layered,tough
30210,Amanita chrysoblema,warts,submembranous,light yellow,layered,
30211,Amanita chrysoblema,limbate,membranous,dingy white,not layered,tough
30212,Amanita sp. 'GWA-ami1',saccate,membranous,light brown,not layered,tough
30213,Amanita cf. lavendula,limbate,membranous,white,not layered,tough
30214,Amanita cf. lavendula,limbate,membranous,white,not layered,tough
30215,Amanita centrascura,sheathing,membranous,white,not layered,tough
30216,Amanita cf. lavendula,limbate,membranous,white,not layered,tough
30217,Amanita cf. lavendula,limbate,membranous,white,not layered,tough
30218,Amanita cf. lavendula,limbate,membranous,white,not layered,toughish
30219,Amanita cf. lavendula,limbate,submembranous,white,not layered,tough
30220,Amanita centrascura,sheathing,membranous,white,not layered,tough
30221,Amanita multisquamosa,collared,membranous,white,not layered,tough
30222,Amanita multisquamosa,collared,membranous,white light brown,not layered,tough
30223,Amanita multisquamosa,collared,membranous,white light brown,not layered,tough
30224,Amanita multisquamosa,collared,membranous,white light brown,not layered,tough
30225,Amanita populiphila,limbate,membranous,white light yellow,not layered,tough
30226,Amanita stranella,limbate,submembranous,white,not layered,flimsy
30227,Amanita stranella,limbate,submembranous,white,not layered,flimsy
30228,Amanita flavoconia,not evident,,,not layered,
30229,Amanita frostiana,not evident,,,not layered,
30230,Amanita amerirubescens nom prov.,not evident,,,not layered,
30231,Amanita amerirubescens nom prov.,not evident,,,not layered,
30232,Amanita amerirubescens nom prov.,not evident,,,not layered,
30233,Amanita rhacopus,sheathing,pulverulent,,not layered,
30234,Amanita rhacopus,sheathing,pulverulent,dark grey,not layered,
30235,Amanita solaniolens,limbate,submembranous,white,not layered,
30236,Amanita solaniolens,limbate,submembranous,white light brown,not layered,
30237,Amanita confundens,sheathing,submembranous,white,not layered,flimsy
30238,Amanita flavorubens,not evident,,,not layered,
30239,Amanita virginiana,saccate,membranous,white,not layered,tough
30240,Amanita bisporigera,saccate,submembranous,white,not layered,flimsy
30242,Amanita frostiana,collared,submembranous,yellow,layered,
30243,Amanita aff. fulva,sheathing,membranous,white light brown,not layered,tough
30244,Amanita coryli,sheathing,membranous,white,not layered,tough
30245,Amanita aff. fulva,sheathing,membranous,light orange,not layered,flimsy
30246,Amanita brunnescens,not evident,,,not layered,
30247,Amanita aff. griseoumbonata,sheathing,submembranous,white,not layered,
30248,Amanita brunnescens,not evident,,,not layered,
30249,Amanita stranella,limbate,membranous,white,not layered,flimsy
30250,Amanita coryli,,,,,
30251,Amanita coryli,sheathing,membranous,white,not layered,flimsy
30252,Amanita amerirubescens nom prov.,,,,,
30253,Amanita brunnescens,not evident,,,not layered,
30254,Amanita brunnescens,not evident,,,not layered,
30255,Amanita aff. fulva,sheathing,membranous,white light brown,not layered,
30256,Amanita rhacopus,sheathing,membranous,white grey,not layered,flimsy
30257,Amanita confundens,sheathing,submembranous,white,not layered,flimsy
30258,Amanita brunnescens,not evident,,,not layered,
30259,Amanita brunnescens,limbate,membranous,light brown,not layered,tough
30260,Amanita solaniolens,limbate,membranous,light brown,not layered,tough
30261,Amanita frostiana,collared,membranous,white light yellow,layered,tough
30262,Amanita subnigra nom prov.,saccate,membranous,white,not layered,
30263,Amanita brunnescens,not evident,,,not layered,
30264,Amanita amerirubescens nom prov.,not evident,,,not layered,
30265,Amanita brunnescens,limbate,membranous,white,not layered,tough
30267,Amanita amerivirosa,sheathing,membranous,white,not layered,
30268,Amanita jakeslandingensis nom prov.,sheathing,membranous,white light brown,not layered,
30269,Amanita amerivirosa,sheathing,membranous,white,not layered,
30270,Amanita amerivirosa,sheathing,membranous,white,not layered,
30271,Amanita brunnescens,loose patches,pulverulent,white,not layered,
30272,Amanita brunnescens,loose patches,pulverulent,brown,not layered,
30273,Amanita bisporigera,saccate,submembranous,white,not layered,
30274,Amanita sp. 'GWA-ami2',saccate,membranous,white light brown,not layered,tough
30275,Amanita bisporigera,saccate,submembranous,white,not layered,flimsy
30276,Amanita sp. 'GWA-phal1',saccate,membranous,white,not layered,tough
30277,Amanita bisporigera,saccate,submembranous,white,not layered,flimsy
30278,Amanita centrascura,sheathing,membranous,white,not layered,tough
30279,Amanita suballiacea,limbate,membranous,light grey,not layered,tough
30280,Amanita populiphila,limbate,membranous,white light yellow,not layered,tough
30281,Amanita fusca,saccate,submembranous,white,not layered,toughish
30282,Amanita fusca,sheathing,membranous,white,not layered,
30283,Amanita flavorubens,not evident,,,not layered,
30284,Amanita suballiacea,saccate,membranous,white,not layered,
30285,Amanita fusca,sheathing,membranous,white,not layered,
30286,Amanita porphyria,limbate,membranous,light brown,not layered,
30287,Amanita cf. lavendula,not evident,,,not layered,
30291,Amanita cf. lavendula,limbate,membranous,light brown,not layered,
30293,Amanita porphyria,not evident,,,not layered,
40220,Amanita cf. lavendula,limbate,membranous,white light brown,not layered,tough
30187_2,Amanita suballiacea,saccate,membranous,white,not layered,flimsy
30187_3,Amanita suballiacea,saccate,membranous,white,not layered,flimsy
30193_2,Amanita confundens,saccate,membranous,white,not layered,flimsy
30193_3,Amanita confundens,saccate,membranous,white,not layered,flimsy
30194_2,Amanita aff. fulva,saccate,membranous,white,not layered,toughish
30199_2,Amanita bisporigera,saccate,membranous,white,not layered,tough
30199_3,Amanita bisporigera,saccate,membranous,white,not layered,tough
30199_4,Amanita bisporigera,saccate,membranous,white,not layered,tough
30204_2,Amanita amerivirosa,not evident,,,not layered,
30204_3,Amanita amerivirosa,not evident,,,not layered,
30204_4,Amanita amerivirosa,not evident,,,not layered,
30208_2,Amanita cf. lavendula,limbate,membranous,white,not layered,tough
30223_2,Amanita multisquamosa,collared,membranous,white light brown,not layered,tough
30223_3,Amanita multisquamosa,collared,membranous,white light brown,not layered,tough
30224_2,Amanita multisquamosa,collared,membranous,white light brown,not layered,tough
30226_2,Amanita stranella,limbate,submembranous,white,not layered,flimsy
30230_2,Amanita amerirubescens nom prov.,not evident,,,not layered,
30230_3,Amanita amerirubescens nom prov.,not evident,,,not layered,
30230_4,Amanita amerirubescens nom prov.,not evident,,,not layered,
30230_5,Amanita amerirubescens nom prov.,not evident,,,not layered,
30230_6,Amanita amerirubescens nom prov.,not evident,,,not layered,
30230_7,Amanita amerirubescens nom prov.,not evident,,,not layered,
30230_8,Amanita amerirubescens nom prov.,not evident,,,not layered,
30239_2,Amanita virginiana,saccate,membranous,white,not layered,tough
30249_2,Amanita stranella,limbate,membranous,white,not layered,flimsy
30250_2,Amanita coryli,,,,,
30257_2,Amanita confundens,sheathing,submembranous,white,not layered,flimsy
30274_2,Amanita sp. 'GWA-ami2',saccate,membranous,white light brown,not layered,tough
30280_2,Amanita populiphila,limbate,membranous,white light yellow,not layered,tough
30280_3,Amanita populiphila,limbate,membranous,white light yellow,not layered,tough
30280_4,Amanita populiphila,limbate,membranous,white light yellow,not layered,tough
30280_5,Amanita populiphila,limbate,membranous,white light yellow,not layered,tough
30280_6,Amanita populiphila,limbate,membranous,white light yellow,not layered,tough
30280_7,Amanita populiphila,limbate,membranous,white light yellow,not layered,tough
